id,raw_min,raw_max,percentile,t

soc,0,11,16,40
soc,12,12,24,43
soc,13,13,31,45
soc,14,14,38,47
soc,15,15,46,49
soc,16,16,54,51
soc,17,17,62,53
soc,18,18,69,55
soc,19,19,73,56
soc,20,20,79,58
soc,21,21,84,60
soc,22,22,88,62
soc,23,23,90,63
soc,24,24,92,64
soc,25,25,93,65
soc,26,26,95,66
soc,27,27,95,67
soc,28,28,97,69
soc,29,29,97,70
soc,30,30,98,71
soc,31,31,99,73
soc,32,32,100,75
soc,33,33,100,76
soc,34,34,100,78
soc,35,36,100,79
soc,37,inf,100,80

vis,0,11,18,41
vis,12,12,50,50
vis,13,13,66,54
vis,14,14,76,57
vis,15,15,82,59
vis,16,16,86,61
vis,17,17,90,63
vis,18,18,92,64
vis,19,19,93,65
vis,20,20,95,67
vis,21,22,96,68
vis,23,23,97,69
vis,24,24,97,70
vis,25,25,98,71
vis,26,26,98,72
vis,27,27,100,74
vis,28,29,100,75
vis,30,30,100,76
vis,31,31,100,77
vis,32,32,100,78
vis,33,34,100,79
vis,35,inf,100,80

hea,0,8,24,43
hea,9,9,58,52
hea,10,10,73,56
hea,11,11,82,59
hea,12,12,88,62
hea,13,13,90,63
hea,14,14,92,64
hea,15,15,95,66
hea,16,16,95,67
hea,17,17,96,68
hea,18,18,97,69
hea,19,19,97,70
hea,20,20,98,71
hea,21,21,98,72
hea,22,22,100,74
hea,23,23,100,75
hea,24,24,100,76
hea,25,25,100,77
hea,26,26,100,78
hea,27,28,100,79
hea,29,inf,100,80

tou,0,11,16,40
tou,12,12,38,47
tou,13,13,48,52
tou,14,14,69,55
tou,15,15,76,57
tou,16,16,82,59
tou,17,17,86,61
tou,18,18,90,63
tou,19,19,92,64
tou,20,20,93,65
tou,21,21,95,66
tou,22,22,95,67
tou,23,24,96,68
tou,25,25,97,69
tou,26,26,98,71
tou,27,27,98,72
tou,28,29,99,73
tou,30,31,100,74
tou,32,32,100,75
tou,33,33,100,77
tou,34,35,100,78
tou,36,36,100,79
tou,37,inf,100,80

bod,0,10,16,40
bod,11,11,42,48
bod,12,12,58,52
bod,13,13,69,55
bod,14,14,76,57
bod,15,15,82,59
bod,16,16,84,60
bod,17,17,86,61
bod,18,18,90,63
bod,19,19,92,64
bod,20,20,93,65
bod,21,21,95,66
bod,22,22,95,67
bod,23,23,96,68
bod,24,24,97,69
bod,25,25,97,70
bod,26,26,98,71
bod,27,27,98,72
bod,28,28,99,73
bod,29,29,100,74
bod,30,30,100,75
bod,31,31,100,76
bod,32,32,100,77
bod,33,33,100,78
bod,34,35,100,79
bod,36,inf,100,80

bal,0,11,16,40
bal,12,12,38,47
bal,13,13,54,51
bal,14,14,66,54
bal,15,15,76,57
bal,16,16,82,59
bal,17,17,86,61
bal,18,18,90,63
bal,19,19,92,64
bal,20,20,93,65
bal,21,21,95,66
bal,22,22,96,68
bal,23,23,97,69
bal,24,24,98,71
bal,25,25,98,72
bal,26,26,100,74
bal,27,28,100,75
bal,29,30,100,76
bal,31,32,100,77
bal,33,33,100,78
bal,34,34,100,79
bal,35,inf,100,80

pla,0,9,16,40
pla,10,10,31,45
pla,11,11,42,48
pla,12,12,54,51
pla,13,13,62,53
pla,14,14,69,55
pla,15,15,76,57
pla,16,16,79,58
pla,17,17,84,60
pla,18,18,86,61
pla,19,19,90,63
pla,20,20,92,64
pla,21,21,93,65
pla,22,22,95,66
pla,23,23,95,67
pla,24,24,97,69
pla,25,25,97,70
pla,26,26,98,72
pla,27,27,99,73
pla,28,28,100,74
pla,29,29,100,75
pla,30,30,100,77
pla,31,32,100,79
pla,33,inf,100,80

tot,0,58,16,40
tot,59,59,21,42
tot,60,60,27,44
tot,61,61,34,46
tot,62,62,38,47
tot,63,63,42,48
tot,64,64,50,50
tot,65,65,54,51
tot,66,66,58,52
tot,67,68,62,53
tot,69,69,66,54
tot,70,70,69,55
tot,71,72,73,56
tot,73,74,76,57
tot,75,76,79,58
tot,77,78,82,59
tot,79,80,84,60
tot,81,83,86,61
tot,84,87,88,62
tot,88,91,90,63
tot,92,93,92,64
tot,94,98,93,65
tot,99,102,95,66
tot,103,105,95,67
tot,106,109,96,68
tot,110,118,97,69
tot,119,121,97,70
tot,122,128,98,71
tot,129,130,98,72
tot,131,132,99,73
tot,133,136,100,74
tot,137,139,100,75
tot,140,141,100,76
tot,142,153,100,77
tot,154,163,100,78
tot,164,169,100,79
tot,170,inf,100,80
