id,raw_min,raw_max,percentile,t

vis,0,10,16,40
vis,11,11,31,45
vis,12,12,46,49
vis,13,13,58,52
vis,14,14,69,55
vis,15,15,79,58
vis,16,16,84,60
vis,17,17,86,61
vis,18,18,90,63
vis,19,19,92,64
vis,20,20,95,66
vis,21,21,96,68
vis,22,22,97,69
vis,23,24,98,71
vis,25,25,99,72
vis,26,26,99,74
vis,27,27,100,77
vis,28,31,100,79
vis,32,inf,100,80

hea,0,10,16,40
hea,11,11,38,47
hea,12,12,54,51
hea,13,13,66,54
hea,14,14,76,57
hea,15,15,79,58
hea,16,16,84,60
hea,17,17,86,61
hea,18,18,90,63
hea,19,19,92,64
hea,20,20,93,65
hea,21,21,95,66
hea,22,22,96,67
hea,23,23,96,68
hea,24,24,97,69
hea,25,25,98,70
hea,26,26,98,71
hea,27,28,99,72
hea,29,30,99,73
hea,31,31,99,74
hea,32,32,100,76
hea,33,33,100,77
hea,34,34,100,78
hea,35,inf,100,80

tou,0,10,16,40
tou,11,11,24,43
tou,12,12,38,47
tou,13,13,50,50
tou,14,14,62,53
tou,15,15,73,56
tou,16,16,82,59
tou,17,17,86,61
tou,18,18,90,63
tou,19,19,93,65
tou,20,20,95,66
tou,21,21,96,67
tou,22,23,97,69
tou,24,24,98,70
tou,25,25,99,72
tou,26,26,99,73
tou,27,27,100,76
tou,28,32,100,79
tou,33,inf,100,80

t&s,0,10,16,40
t&s,11,11,24,43
t&s,12,12,34,46
t&s,13,13,46,49
t&s,14,14,58,52
t&s,15,15,69,55
t&s,16,16,76,57
t&s,17,17,79,58
t&s,18,18,84,60
t&s,19,19,88,62
t&s,20,20,92,64
t&s,21,21,93,65
t&s,22,22,96,67
t&s,23,23,96,68
t&s,24,24,97,69
t&s,25,25,98,71
t&s,26,26,99,72
t&s,27,27,99,74
t&s,28,29,100,76
t&s,30,30,100,78
t&s,31,32,100,79
t&s,33,inf,100,80
